Correlativo,Fecha,ID,Categoría,Edad,Talla,IMC,PesoActual_Kg,MA_Per,MA_Kg,MO_kg,MM_Per,MM_Kg,IMO,Sum6Pliegues,Observaciones,TallaSentado,Biacromial,T_delTorax,AntPost_delTorax,Biiliocristal,Humero,Femur,Cabeza,Brazo_Relajado,Brazo_Flexionado,Antebrazo,Torax,Cintura,Cadera,Muslo1cm_Gluteo,MusloMedio,Pierna,Triceps,Subescapular,Supraespinal,Abdominal,Muslo,Pantorrilla,Fecha_registro,Nro_Evaluacion,MG_Per
598,2023-09-21,10000003,Sub-15,15.3,164.4,18.5737711711392,50.2,19.46,9.771,6.74,45.53,22.858,3.3914,24.0,,84.1,36.5,26.0,17.9,24.3,6.5,9.3,54.7,22.4,25.0,22.0,82.3,72.2,79.8,44.5,44.4,32.7,3.2,4.2,3.2,4.0,5.4,4.0,2023-10-26 17:50:48.497,5,
1,2023-01-11,10000179,Sub-16,15.3,189.6,19.639391835354,70.6,26.5906617348651,18.7730071848148,10.5181969064985,41.0122848720966,28.9546731197002,2.7528171774205,44.6,,95.6,40.0,27.4,18.8,30.3,7.9,10.7,58.0,26.4,28.2,25.4,86.9,73.6,93.8,51.8,46.9,35.6,7.5,7.9,8.4,7.8,6.9,6.1,2023-10-19 19:58:19.247,1,
2,2023-01-11,10000036,Sub-16,15.5,169.8,21.6772729227623,62.5,21.4406138365535,13.400383647846,9.02267758307658,45.2675344545015,28.2922090340634,3.13567771579579,44.8,,94.1,40.2,30.2,18.4,29.2,7.3,10.1,54.7,25.1,28.4,23.6,90.5,75.6,93.0,52.7,49.4,33.8,7.9,8.3,8.7,9.4,5.9,4.6,2023-10-19 19:58:19.247,1,
3,2023-01-11,10000037,Sub-16,15.9,181.6,19.4065477692173,64.0,23.1764712657662,14.8329416100904,9.82569939825056,43.5261297306539,27.8567230276185,2.83508805821785,37.6,,91.4,42.4,30.1,17.5,29.1,7.1,10.0,57.8,26.0,27.9,24.7,88.2,71.2,92.1,51.1,45.8,33.1,5.7,7.9,7.8,5.7,5.9,4.6,2023-10-19 19:58:19.247,1,
4,2023-01-11,10000048,Sub-16,15.6,172.9,18.2977352622112,54.7,26.7803166484409,14.6488332066972,7.60211994379714,41.899682684604,22.9191264284784,3.01483357246671,39.8,,89.1,37.9,25.9,15.1,23.7,6.9,9.4,58.1,23.1,26.4,22.6,80.1,64.5,81.0,47.9,45.9,33.2,6.2,5.9,7.5,4.6,8.9,6.7,2023-10-19 19:58:19.247,1,
5,2023-01-11,10000191,Sub-16,15.7,177.5,22.0908549890895,69.6,28.8207058499282,20.05921127155,8.14757166467982,42.8971507810179,29.8564169435884,3.66445588604242,66.7,,99.6,36.9,27.5,20.2,28.5,7.0,10.3,54.3,29.3,30.6,25.1,86.7,72.0,94.6,55.6,51.6,34.5,10.9,9.1,9.6,13.1,8.9,15.1,2023-10-19 19:58:19.247,1,
6,2023-01-11,10000075,Sub-16,16.0,166.5,20.7775342910478,57.6,23.9351576311671,13.7866507955523,7.82961124080838,44.8930055526825,25.8583711983451,3.30263794753561,46.5,,92.1,38.1,26.3,19.5,26.0,7.1,9.7,54.0,24.1,25.1,22.1,83.0,68.0,89.0,52.7,48.9,33.8,7.0,7.5,8.4,11.0,5.4,7.2,2023-10-19 19:58:19.247,1,
7,2023-01-11,10000076,Sub-16,15.7,175.4,18.4299382808346,56.7,24.1441323408992,13.6897230372898,7.96131684262945,38.2992532258143,21.7156765790367,2.72764883100224,39.3,,97.3,38.5,26.3,37.2,28.1,7.1,9.8,54.3,23.7,25.3,23.0,80.6,66.7,87.6,50.0,47.9,31.7,6.6,6.7,7.8,6.2,6.4,5.6,2023-10-19 19:58:19.247,1,
8,2023-01-11,10000118,Sub-16,15.6,181.7,24.8978566943582,82.2,26.7497387190325,21.9882852270448,8.94792482316834,46.2053098975949,37.980764735823,4.2446450418852,69.6,,93.3,40.9,29.2,21.2,27.2,6.9,10.5,54.6,30.2,30.2,23.5,91.1,77.0,99.8,62.2,57.3,39.2,10.1,9.1,12.5,19.5,12.8,5.6,2023-10-19 19:58:19.247,1,
9,2023-01-11,10000071,Sub-16,15.8,166.0,20.4674118159385,56.4,21.1464496178049,11.926597584442,7.53950201420767,46.841040110413,26.4183466222729,3.50399092307282,38.6,,93.3,37.7,27.8,16.7,26.7,6.8,9.4,55.5,26.0,28.4,24.0,82.2,72.2,86.9,51.0,48.7,34.7,5.7,6.3,9.9,6.8,6.4,3.5,2023-10-19 19:58:19.247,1,
10,2023-01-11,10000086,Sub-16,15.9,181.1,20.8554325200223,68.4,24.7683866222741,16.9415764496355,9.19717027027644,44.7514367786074,30.6099827565674,3.32819572292722,46.3,,98.9,39.5,27.3,19.8,29.7,6.7,10.2,56.7,26.7,29.9,25.0,83.9,70.7,92.0,55.6,53.8,38.1,8.3,7.5,8.7,6.2,8.9,6.7,2023-10-19 19:58:19.247,1,
11,2023-01-11,10000095,Sub-16,15.8,168.0,19.3098072562358,54.5,20.9960091372772,11.4428249798161,6.38676514760352,48.7718499566212,26.5806582263585,4.16183429514897,34.5,,89.4,36.9,27.2,17.9,24.8,6.5,9.1,55.2,25.8,27.6,23.7,85.5,70.0,84.2,50.7,48.9,33.2,4.9,6.7,7.8,6.2,5.4,3.5,2023-10-19 19:58:19.247,1,
12,2023-01-11,10000099,Sub-16,15.7,161.2,22.3201916149967,58.0,20.1774633159436,11.7029287232473,7.16157374763607,49.4448816265661,28.6780313434083,4.00443147749117,41.8,,85.0,37.8,27.7,18.9,25.3,6.3,9.2,56.0,26.8,29.2,24.5,84.6,70.0,87.9,53.2,51.5,35.8,5.7,7.5,8.7,6.8,5.4,7.7,2023-10-19 19:58:19.247,1,
13,2023-01-11,10000106,Sub-16,16.0,169.1,22.9412260476639,65.6,23.1416847458487,15.1809451932768,7.77088177787542,47.6948028627785,31.2877906779827,4.02628576425685,52.5,,95.4,37.2,29.4,19.1,26.8,6.5,9.9,56.6,27.5,29.4,24.2,88.3,70.5,92.2,57.5,54.4,35.2,10.1,7.1,8.4,8.9,10.8,7.2,2023-10-19 19:58:19.247,1,
14,2023-01-11,10000110,Sub-16,15.6,182.0,18.1439439681198,60.1,28.1943249171725,16.9447892752207,8.66764712353085,39.3465718454172,23.6472896790957,2.72822478142866,40.8,,98.6,37.3,27.0,18.4,28.2,7.4,9.9,56.1,24.1,26.2,24.5,80.2,67.0,92.3,49.7,44.8,32.0,7.5,7.5,8.1,6.2,6.9,4.6,2023-10-19 19:58:19.247,1,
